"Y" "X1" "X2" "X3" "X4" "X5"
"1" 489 81 151 45.5 43.61 1
"2" 423 68 156 46.45 44.69 1
"3" 507 80 165 76.5 54.57 1
"4" 467 107 149 55.5 43.27 1
"5" 340 43 134 49.4 49.21 1
"6" 524 129 163 72 49.96 1
"7" 488 139 159 86.2 53.05 1
"8" 445 88 135 64 49.51 1
"9" 388 99 141 44.15 39.57 1
"10" 579 121 145 44.25 51.89 1
"11" 433 91 129 42.5 53.77 1
"12" 409 87 115 79.25 56.32 1
"13" 410 69 125 59 55.66 0
"14" 568 57 131 31.75 63.97 0
"15" 425 77 141 80.5 45.32 0
"16" 344 81 122 75 46.67 0
"17" 324 0 141 49 41.21 0
"18" 505 53 152 49.35 43.83 0
"19" 234 77 141 60.75 41.61 0
"20" 501 76 132 41.25 64.57 0
"21" 400 65 157 50.75 42.41 0
"22" 584 97 166 32.25 57.95 0
"23" 434 76 141 54.52 57.9 0
